X date,Y $/Mbyte,Date,Month,Ref:,Page,Company,Size Kbyte,Cost US $,Speed nsec, Memory Type,JDR Chip Prices Size Kbit,US$,nsec
1973,"399,360",1973,Jan,PDP8/e User Price List,,DEC,12,4680,,Core memory 8Kwords x 12 bit,,,
1975,"421,888",1975,Jan,Radio-Electronics,,MITS,0.25,103,1000,Altair 8800 256 Byte Static Board,,,
1976,"40,704",1976,Jan,,,MITS,4,159,,Altair 4K Static (2102) RAM Board,,,
1979,"10,528",1979,Jan,Interface Age,124,,32,329,,,,,
1980,"6,480",1980,Jan,Interface Age,121,,64,405,,,,,
1981,"8,800",1981,Jan,Interface Age,141,,64,550,,,,,
1982,"3,520",1982,Jan,Interface Age,135,,256,880,,,,,
1983,"2,396",1983,Jan,Interface Age,153,,256,599,,,,,
1984,"1,379",1984,Jan,BYTE,64,,384,517,,,,,
1985,880,1985,Jan,BYTE,470,Do Kay,512,440,,IBM 512K $199.95+8*29.97,,,
1986,300,1986,Jan,BYTE,,Jade,2048,599,,2MB J-RAM-2 A&T $599,256,2.95,150
1987,176,1987,Jan,BYTE,477,JDR,3072,528.5,,JDR AT Multifuntion $139.95+49.95+3*36*2.95,256,2.95,150
1988,163,1988,Jan,BYTE,,JDR,3072,488.47,,JDR MCT-ATMF 3MB Multifunction,256,2.95,150
1989,505,1989,Jan,BYTE,,JDR,3072,1514.5,,JDR MCT-ATMF 3MB Multifunc $169.90+3*36*12.45,256,12.45,150
1990,106,1990,Jan,BYTE,,Unitex,8192,851,,Bocaram AT 8MB - $149+72*9.75,1024,11.95,120
1991,44.5,1991,Jan,BYTE,393,IC Express,1024,44.5,80,1Mx9-80 SIMM @ $44.50,1024,7.95,120
1992,36.3,1992,Jan,BYTE,380,AMT International,4096,145,80,4Mx9-80 SIMM @ $145,1024,5.49,100
1993,33.1,1993,Jan,BYTE,307,Cititronics,16384,529,,4Mx36-?? SIMM @ $526,36864,149.95,80
1994,35.8,1994,Jan,BYTE,290,West Coast Micro,4096,143,70,4Mx3x3-70 SIMM @ $143,36864,159.95,80
1995,32.3,1995,Jan,BYTE,256,Nevada,4096,129,80,4Mx9-80 SIMM @ $129,36864,159.95,70
1996,29.9,1996,Jan,BYTE,186,First Source International,16384,478,70,4Mx36-70 SIMM [72 pin] @ $478,147456,689,70
1997,4.63,1997,Jan,BYTE,153,First Source International,8192,37,60,2Mx32-60 SIMM EDO [72 pin] @ $37,,,
1998,2.16,1998,20-Jan,Pcmag,277,Computer America Inc,32768,69,,8Mx32-? SIMM EDO [72 pin] @ $69,,,
2000,1.56,2000,18-Jan,Pcmag,14,Crucial Technology,65536,99.89,,64 MB DIMM PC-100 @ $99.89,,,
2001,0.75,2001,2-Jan,Pcmag,19,Crucial Technology,65536,47.69,,64 MB DIMM PC-133 @ $47.69,discount for web purchase,,
2004,0.174,2004,Jan,Pcmag,143,NewEgg.com,524288,89,,512 MB DIMM DDR-3200 @ $89,,,
2007,0.082,2007,28-Jan,Web,,NewEgg.com,1048576,83.98,,1GB DIMM DDR-400 @$78.99 + 4.99 shipping,PQi,,
2008,0.0232,2008,18-Jan,Web,,NewEgg.com,4194304,94.99,5-5-5-15,2x2 GB DIMM DDR2-800 @ $94.99 + free shipping,G.Skill,,
2009,0.0098,2009,19-Jan,Web,,NewEgg.com,4194304,39.99,5-5-5-15,2x2 GB DIMM DDR2-800 @ $39.99 + free shipping,G.Skill,,
2010,0.019,2010,15-Jan,Web,,NewEgg.com,4194304,77.99,5-5-5-15,2x2 GB DIMM DDR2-800 @ $77.99 + free shipping,Wintec,,
2011,0.01,2011,21-Jan,Web,,NewEgg.com,4194304,40.98,cas 9,2x2 GB DIMM DDR3-1333 @ $40.98 + free shipping,A-Data,,
2012,0.0049,2012,12-Jan,Web,,NewEgg.com,8388608,39.99,9-9-9-24,2x4 GB DIMM DDR3-1600 @ $39.99 + free shipping,Corsair,,
2013,0.0043,2013,17-Jan,Web,,NewEgg.com,8388608,34.99,9-9-9-24,2x4 GB DIMM DDR3-1600 @ $34.99 + free shipping,Wintec One,,
2015,0.0078,2015,22-Jan,Web,,NewEgg.com,8388608,63.99,cas 10,1x8 GB DIMM DDR3-1866 @ $63.99 + free shipping,Hypexx Fury,,
